1	OMwB_Column	4	OMwB_Column	1	OMwB_Column	1	OMwB_Column	OMwB_Row
2	OMwB_Column	4	OMwB_Column	1	OMwB_Column	2	OMwB_Column	OMwB_Row
1	OMwB_Column	5	OMwB_Column	1	OMwB_Column	1	OMwB_Column	OMwB_Row
1	OMwB_Column	7	OMwB_Column	1	OMwB_Column	1	OMwB_Column	OMwB_Row
1	OMwB_Column	13	OMwB_Column	1	OMwB_Column	1	OMwB_Column	OMwB_Row
2	OMwB_Column	13	OMwB_Column	1	OMwB_Column	2	OMwB_Column	OMwB_Row
1	OMwB_Column	15	OMwB_Column	1	OMwB_Column	1	OMwB_Column	OMwB_Row
1	OMwB_Column	25	OMwB_Column	1	OMwB_Column	1	OMwB_Column	OMwB_Row
1	OMwB_Column	26	OMwB_Column	1	OMwB_Column	1	OMwB_Column	OMwB_Row
2	OMwB_Column	26	OMwB_Column	1	OMwB_Column	2	OMwB_Column	OMwB_Row
3	OMwB_Column	26	OMwB_Column	1	OMwB_Column	3	OMwB_Column	OMwB_Row
1	OMwB_Column	27	OMwB_Column	1	OMwB_Column	1	OMwB_Column	OMwB_Row
1	OMwB_Column	27	OMwB_Column	2	OMwB_Column	2	OMwB_Column	OMwB_Row
1	OMwB_Column	27	OMwB_Column	3	OMwB_Column	4	OMwB_Column	OMwB_Row
2	OMwB_Column	27	OMwB_Column	3	OMwB_Column	1	OMwB_Column	OMwB_Row
1	OMwB_Column	29	OMwB_Column	1	OMwB_Column	1	OMwB_Column	OMwB_Row
2	OMwB_Column	29	OMwB_Column	1	OMwB_Column	2	OMwB_Column	OMwB_Row
3	OMwB_Column	29	OMwB_Column	1	OMwB_Column	3	OMwB_Column	OMwB_Row
4	OMwB_Column	29	OMwB_Column	1	OMwB_Column	4	OMwB_Column	OMwB_Row
5	OMwB_Column	29	OMwB_Column	1	OMwB_Column	5	OMwB_Column	OMwB_Row
6	OMwB_Column	29	OMwB_Column	1	OMwB_Column	6	OMwB_Column	OMwB_Row
1	OMwB_Column	34	OMwB_Column	1	OMwB_Column	1	OMwB_Column	OMwB_Row
1	OMwB_Column	34	OMwB_Column	2	OMwB_Column	4	OMwB_Column	OMwB_Row
