rowsetid	OMwB_Column	0	OMwB_Column	1	OMwB_Column	8	OMwB_Column	19	OMwB_Column	0	OMwB_Column	0	OMwB_Column	127	OMwB_Column	127	OMwB_Column	0	OMwB_Column	4	OMwB_Column	OMwB_Row
rowsetcolid	OMwB_Column	0	OMwB_Column	2	OMwB_Column	4	OMwB_Column	10	OMwB_Column	0	OMwB_Column	0	OMwB_Column	56	OMwB_Column	56	OMwB_Column	0	OMwB_Column	4	OMwB_Column	OMwB_Row
hobtcolid	OMwB_Column	0	OMwB_Column	3	OMwB_Column	4	OMwB_Column	10	OMwB_Column	0	OMwB_Column	0	OMwB_Column	56	OMwB_Column	56	OMwB_Column	0	OMwB_Column	4	OMwB_Column	OMwB_Row
status	OMwB_Column	0	OMwB_Column	4	OMwB_Column	4	OMwB_Column	10	OMwB_Column	0	OMwB_Column	0	OMwB_Column	56	OMwB_Column	56	OMwB_Column	0	OMwB_Column	4	OMwB_Column	OMwB_Row
rcmodified	OMwB_Column	0	OMwB_Column	5	OMwB_Column	8	OMwB_Column	19	OMwB_Column	0	OMwB_Column	0	OMwB_Column	127	OMwB_Column	127	OMwB_Column	0	OMwB_Column	4	OMwB_Column	OMwB_Row
maxinrowlen	OMwB_Column	0	OMwB_Column	6	OMwB_Column	2	OMwB_Column	5	OMwB_Column	0	OMwB_Column	0	OMwB_Column	52	OMwB_Column	52	OMwB_Column	0	OMwB_Column	4	OMwB_Column	OMwB_Row
rowsetid	OMwB_Column	0	OMwB_Column	1	OMwB_Column	8	OMwB_Column	19	OMwB_Column	0	OMwB_Column	0	OMwB_Column	127	OMwB_Column	127	OMwB_Column	0	OMwB_Column	5	OMwB_Column	OMwB_Row
ownertype	OMwB_Column	0	OMwB_Column	2	OMwB_Column	1	OMwB_Column	3	OMwB_Column	0	OMwB_Column	0	OMwB_Column	48	OMwB_Column	48	OMwB_Column	0	OMwB_Column	5	OMwB_Column	OMwB_Row
idmajor	OMwB_Column	0	OMwB_Column	3	OMwB_Column	4	OMwB_Column	10	OMwB_Column	0	OMwB_Column	0	OMwB_Column	56	OMwB_Column	56	OMwB_Column	0	OMwB_Column	5	OMwB_Column	OMwB_Row
idminor	OMwB_Column	0	OMwB_Column	4	OMwB_Column	4	OMwB_Column	10	OMwB_Column	0	OMwB_Column	0	OMwB_Column	56	OMwB_Column	56	OMwB_Column	0	OMwB_Column	5	OMwB_Column	OMwB_Row
numpart	OMwB_Column	0	OMwB_Column	5	OMwB_Column	4	OMwB_Column	10	OMwB_Column	0	OMwB_Column	0	OMwB_Column	56	OMwB_Column	56	OMwB_Column	0	OMwB_Column	5	OMwB_Column	OMwB_Row
status	OMwB_Column	0	OMwB_Column	6	OMwB_Column	4	OMwB_Column	10	OMwB_Column	0	OMwB_Column	0	OMwB_Column	56	OMwB_Column	56	OMwB_Column	0	OMwB_Column	5	OMwB_Column	OMwB_Row
fgidfs	OMwB_Column	0	OMwB_Column	7	OMwB_Column	2	OMwB_Column	5	OMwB_Column	0	OMwB_Column	0	OMwB_Column	52	OMwB_Column	52	OMwB_Column	0	OMwB_Column	5	OMwB_Column	OMwB_Row
rcrows	OMwB_Column	0	OMwB_Column	8	OMwB_Column	8	OMwB_Column	19	OMwB_Column	0	OMwB_Column	0	OMwB_Column	127	OMwB_Column	127	OMwB_Column	0	OMwB_Column	5	OMwB_Column	OMwB_Row
auid	OMwB_Column	0	OMwB_Column	1	OMwB_Column	8	OMwB_Column	19	OMwB_Column	0	OMwB_Column	0	OMwB_Column	127	OMwB_Column	127	OMwB_Column	0	OMwB_Column	7	OMwB_Column	OMwB_Row
type	OMwB_Column	0	OMwB_Column	2	OMwB_Column	1	OMwB_Column	3	OMwB_Column	0	OMwB_Column	0	OMwB_Column	48	OMwB_Column	48	OMwB_Column	0	OMwB_Column	7	OMwB_Column	OMwB_Row
ownerid	OMwB_Column	0	OMwB_Column	3	OMwB_Column	8	OMwB_Column	19	OMwB_Column	0	OMwB_Column	0	OMwB_Column	127	OMwB_Column	127	OMwB_Column	0	OMwB_Column	7	OMwB_Column	OMwB_Row
status	OMwB_Column	0	OMwB_Column	4	OMwB_Column	4	OMwB_Column	10	OMwB_Column	0	OMwB_Column	0	OMwB_Column	56	OMwB_Column	56	OMwB_Column	0	OMwB_Column	7	OMwB_Column	OMwB_Row
fgid	OMwB_Column	0	OMwB_Column	5	OMwB_Column	2	OMwB_Column	5	OMwB_Column	0	OMwB_Column	0	OMwB_Column	52	OMwB_Column	52	OMwB_Column	0	OMwB_Column	7	OMwB_Column	OMwB_Row
pgfirst	OMwB_Column	0	OMwB_Column	6	OMwB_Column	6	OMwB_Column	0	OMwB_Column	0	OMwB_Column	0	OMwB_Column	173	OMwB_Column	173	OMwB_Column	0	OMwB_Column	7	OMwB_Column	OMwB_Row
